DisNo.,Event Name,Location,Start Year,Start Month,Start Day,Weather Station,Weather Data
2000-0598-USA,,"Near Yountville city (Napa district, California province)",2000,9,3.0,h,
2001-0099-USA,,"Seattle city (King district), Tacoma city (Pierce district), Olympia city (Thurston district) (Washington province)",2001,2,28.0,h,
2003-0623-USA,,"Paso Robles, Templeton, Atascadero, Cambria, Morro Bay, Oceano villages (San Luis Obispo district, California province)",2003,12,22.0,h,
2006-0180-USA,,"Amador, Calaveras, Fresno, Merced, San Joaquin, San Mateo, Stanislau districts (California province)",2006,4,4.0,h,
2006-0182-USA,,Kauai district (Hawaii province),2006,3,14.0,,
2006-0260-USA,,"New Hampshire, Maine, Massachusetts provinces",2006,5,11.0,h,
2006-0341-USA,,"Maryland, Pennsylvania, New York, Delaware, Virginia, New Jersey provinces",2006,6,25.0,h,
2006-0344-USA,,"Huron, Erie, Crawford, Lucas, Sandusky districts (Ohio province)",2006,6,22.0,h,
2006-0413-USA,,El Paso district (Texas province),2006,7,27.0,h,
2006-0418-USA,,Lake district (Ohio province),2006,7,27.0,h,
2006-0461-USA,,Alaska province,2006,8,19.0,,
2006-0466-USA,Ernesto,"South Carolina, North Carolina, Virginia provinces",2006,8,2.0,h,
2006-0546-USA,,"Mercer, Jessamine, Franklin, Calloway, Montgomery districts (Kentucky province), Sharp, Clay, Fulton, Randolph, Lawrence districts (Arkansas province), Obion district (Tennessee province), Missouri, Indiana, Illinois provinces",2006,9,22.0,h,
2006-0566-USA,,"Prince William Sound area (Valdez-Cordova district, Alaska province)",2006,10,9.0,h,
2006-0598-USA,,"Washington, Oregon provinces",2006,11,5.0,h,
2006-0704-USA,,Hawai province,2006,10,15.0,h,
2007-0041-USA,,"Indiana, Arkansas, Texas, Ohio, Missouri provinces",2007,1,15.0,h,
2007-0173-USA,,"Texas, Kansas, Oklahoma provinces",2007,5,24.0,h,
2007-0244-USA,,"Wichita Falls area (Wichita district, Texas province), Georgetown areas (Williamson district, Texas province), Burnet, Marble Falls, Granite Shoals areas (Burnet district, Texas province), Granbury area (Hood district, Texas province), Lampasas, Parker, Eastland districts (Texas province), Miami, Commerce areas (Ottawa district, Oklahoma province), Shawnee, Tecumseh, Maud areas (Pottawatomie district, Oklahoma province), Oklahoma city (Oklahoma district, Oklahoma province), Waurika area (Jefferson district, Oklahoma province), Bartlesville, Dewey areas (Washington district, Oklahoma province), Love, Lincoln districts (Oklahoma province), Coffeyville area (Montgomery district, Kansas province), Osawatomie area (Miami district, Kansas province), Allen, Labette, Neosho, Wilson, Woodson districts (Kansas province), Rockville, Papinville areas (Bates district, Missouri province), Vernon district (Missouri province)",2007,6,26.0,h,
2007-0251-USA,,New York province,2007,6,19.0,h,
2007-0254-USA,,"North Texas, Oklahoma provinces",2007,6,17.0,h,
2007-0383-USA,,"Illinois, Colorado, Michigan, Minnesota, Wisconsin, Ohio, Oklahoma, North Dakota provinces",2007,8,16.0,h,
2007-0581-USA,,"Washington, Oregon provinces",2007,12,3.0,h,
2008-0010-USA,,"California, Nevada, Oregon provinces",2008,1,5.0,h,
2008-0099-USA,,"Wells city (Elko district, Nevada province)",2008,2,21.0,h,
2008-0131-USA,,"Missouri, Mississippi, Arkansas, Indiana, Illinois, Ohio, Kentucky, Oklahoma, Iowa, Wisconsin, Texas provinces",2008,3,17.0,h,
2008-0210-USA,,"Dunkerton city (Black Hawk district, Iowa province), Parkesburg, New Hartford cities (Butler district, Iowa province), Cedar Rapids city (Linn district, Iowa province), Minnesota, Indiana, Illinois, Kansas, Michigan, Montana, Missouri, Nebraska, Wisconsin provinces",2008,5,22.0,h,
2008-0384-USA,Hurricane Ike,"Galveston, Brazoria, Harris, Chambers, Jefferson districts (Texas province), Louisiana, Tennessee, Arkansas, Ohio, Indiana, Illinois, Missouri, Kentucky, Pennsylvania, Michigan provinces",2008,9,12.0,h,
2008-0638-USA,,"Orting town (Pierce district, Washington province), Chehalus town (Lewis district, Washington), Oregon province",2008,12,29.0,h,
2009-0106-USA,,"North Dakota, Minnesota provinces",2009,3,24.0,h,
2009-0184-USA,,"Virginia, Kentucky provinces",2009,5,3.0,h,
2009-0190-USA,,Florida province,2009,4,6.0,h,
2010-0027-USA,,"Ferndale, Eureka cities (Humboldt district, California province)",2010,1,10.0,h,
2010-0162-USA,,Rhode Island province,2010,3,27.0,h,
2010-0187-USA,,"Alabama, Arkansas, Mississippi, Kentucky, Tennessee provinces",2010,4,30.0,h,
2010-0225-USA,,"Arkansas, Oklahoma provinces",2010,6,10.0,h,
2010-0522-USA,Tropical storm Hermine,Texas province,2010,9,7.0,h,
2010-0651-USA,,"Kern, Orange, Riverside, San Bernardino, San Luis Obispo, Tulare districts (California province), Utah, Nevada, Arizona provinces",2010,12,19.0,h,
2011-0166-USA,,"Illinois, Missouri, Kentucky, Tennessee, Mississppi provinces",2011,5,1.0,h,
2011-0328-USA,Hurricane Irene,"New York, New Jersey, Pennsylvania, North Carolina, Virginia, Maryland, District of Columbia, Connecticut, Florida provinces",2011,8,27.0,,
2011-0425-USA,,"Charlotte town (Mecklenburg district, North Carolina province)",2011,8,6.0,h,
2012-0176-USA,Tropical storm Debby,"Bay, Calhoun, Escambia, Franklin, Gadsden, Gulf, Holmes, Jackson, Jefferson, Leon, Liberty, Madison, Okaloosa, Santa Rosa, Taylor, Wakulla, Walton, Washington, Brevard, Citrus, Hardee, Hernando, Hillsborough, Indian River, Lake, Manatee, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Volusia districts",2012,6,22.0,h,
2012-0177-USA,,"Bay, Calhoun, Escambia, Franklin, Gadsden, Gulf, Holmes, Jackson, Jefferson, Leon, Liberty, Madison, Okaloosa, Santa Rosa, Taylor, Wakulla, Walton, Washington districts (Florida province), Alabama, Mississippi, Louisiana provinces",2012,6,9.0,,
2012-0313-USA,Hurricane Isaac,"Mississippi, Louisiana provinces",2012,8,28.0,h,
2013-0277-USA,,"Missouri, Kansas, Tennessee, Arkansas, Oklahoma provinces",2013,8,5.0,h,
2013-0286-USA,,"San Antonio town (Bexar district, Texas province)",2013,5,25.0,h,
2013-0291-USA,,"Iowa, Michigan, Minnesota, Wisconsin provinces",2013,4,22.0,h,
2013-0354-USA,,"Lafayette, Lyons, Longmont towns (Boulder district, Colorado province), Larimer, El Paso, Broomfield districts (Colorado province), New Mexico province",2013,9,12.0,h,
2013-0510-USA,,Austin district (Texas province),2013,10,31.0,h,
2013-0558-USA,,"Nelson, Carroll districts (Kentucky province)",2013,12,22.0,h,
2014-0318-USA,,"San Francisco Bay (San Francisco district) , Napa Valley (Napa district) ; Sonoma, Solano district (California province) ; Vallejo, Mare Island cities (Solano district, California province)",2014,8,24.0,h,
2015-0212-USA,,"Texas, Oklahoma, Colorado, Arkansas, Kansas, Louisiana, Georgia, Ohio, South Carolina",2015,5,23.0,h,
2015-0459-USA,Joaquin,"South Carolina, North Carolina",2015,10,1.0,h,
2015-0565-USA,,"Mississippi, Missouri, Kentucky, Tennessee, Arkansas, Alabama, Illinois, Indiana, Louisiana provinces",2015,12,15.0,h,
2016-0183-USA,,"Texas, Oklahoma, Arkansas, Kansas, Nebraska provinces",2016,5,27.0,h,
2016-0203-USA,,"Greenbier district (West Virginia province); Ohio, Indiana, Illinois, Wisconsin, Virginia",2016,6,22.0,h,
2016-0292-USA,,"Louisiana, Mississippi, Missouri, Illinois, Indiana; Allamakee, Clayton, Fayette, Howard, Winneshiek counties (Iowa)",2016,8,9.0,h,
2016-0493-USA,,Cushing (Oklahoma),2016,11,7.0,h,
2017-0282-USA,,"Ellison Creek (Water wheel) Tonto National Forest (Gila, Arizona)",2017,7,15.0,h,
2019-0306-USA,,Ridgecrest (Califronia),2019,7,5.0,h,
2022-0808-USA,,Humboldt County (California),2022,12,20.0,,
